date,product,category,region,sales,quantity,profit
2024-01-15,Widget A,Electronics,North,1200.50,25,300.12
2024-01-20,Widget B,Electronics,South,980.00,18,210.00
2024-02-01,Gadget X,Home,East,2400.00,42,600.00
2024-02-14,Widget A,Electronics,West,1550.75,30,387.69
2024-02-28,Service Y,Services,North,3200.00,10,1600.00
2024-03-05,Gadget X,Home,South,1800.00,35,450.00
2024-03-15,Widget B,Electronics,East,1100.25,20,275.06
2024-03-22,Widget A,Electronics,North,1650.00,33,412.50
2024-04-01,Service Y,Services,West,2800.00,8,1400.00
2024-04-10,Gadget Z,Home,South,950.00,15,237.50
2024-04-20,Widget A,Electronics,East,1300.00,28,325.00
2024-05-01,Widget B,Electronics,North,1420.50,26,355.13
2024-05-15,Gadget X,Home,West,2100.00,38,525.00
2024-05-22,Service Y,Services,South,3500.00,12,1750.00
2024-06-01,Widget A,Electronics,North,1750.25,35,437.56
2024-06-10,Gadget Z,Home,East,1050.00,18,262.50
2024-06-20,Widget B,Electronics,West,1280.00,24,320.00
2024-07-01,Gadget X,Home,North,2250.00,40,562.50
2024-07-15,Service Y,Services,East,3800.00,14,1900.00
2024-07-22,Widget A,Electronics,South,1900.50,38,475.13
2024-08-01,Widget B,Electronics,North,1500.00,28,375.00
2024-08-10,Gadget Z,Home,West,1150.00,20,287.50
2024-08-20,Gadget X,Home,East,2350.00,43,587.50
2024-09-01,Service Y,Services,North,4200.00,16,2100.00
2024-09-15,Widget A,Electronics,South,2050.75,42,512.69
2024-09-22,Widget B,Electronics,West,1380.00,25,345.00
2024-10-01,Gadget X,Home,North,2500.00,45,625.00
2024-10-10,Gadget Z,Home,East,1250.00,22,312.50
2024-10-20,Widget A,Electronics,South,2200.00,44,550.00
2024-11-01,Service Y,Services,West,4500.00,18,2250.00
2024-11-15,Widget B,Electronics,North,1600.50,30,400.13
2024-11-22,Gadget X,Home,East,2650.00,48,662.50
2024-12-01,Widget A,Electronics,South,2400.25,48,600.06
2024-12-10,Gadget Z,Home,West,1350.00,24,337.50
2024-12-20,Service Y,Services,North,5000.00,20,2500.00
